fam,p,mult,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
stretch_SMA_ATR,50,1.5,60,0.87,0.5348,13496,0.5282,0.5197,7703.98,0.7598,5628,0.5373,0.5243,5679.09,0.666,FAIL
stretch_SMA_ATR,20,2.0,30,0.87,0.5348,4334,0.5457,0.5308,6772.61,0.661,2013,0.5445,0.5226,1689.59,0.3335,FAIL
keltner_EMA_ATR,20,1.5,15,0.87,0.5348,5508,0.5543,0.5411,6615.35,0.5781,2516,0.5441,0.5246,815.96,0.319,FAIL
stretch_SMA_ATR,20,1.5,30,0.87,0.5348,7264,0.543,0.5315,6345.37,0.5116,3349,0.5378,0.5209,1935.99,0.3736,FAIL
stretch_SMA_ATR,50,1.5,30,0.9,0.5263,13498,0.53,0.5216,6164.7,0.8233,5629,0.529,0.516,2378.43,0.5144,FAIL
keltner_EMA_ATR,50,2.0,60,0.87,0.5348,8464,0.5337,0.523,6064.16,0.7226,3659,0.5403,0.5241,1074.15,0.6448,FAIL
keltner_EMA_ATR,50,2.5,30,0.9,0.5263,5807,0.5328,0.52,4915.27,0.5826,2526,0.5226,0.5031,-217.58,0.692,FAIL
stretch_SMA_ATR,20,2.0,15,0.87,0.5348,4334,0.551,0.5361,4757.74,0.6117,2013,0.545,0.5231,1629.69,0.256,FAIL
keltner_EMA_ATR,20,2.0,30,0.9,0.5263,3000,0.5403,0.5225,4392.91,0.4862,1360,0.5353,0.5087,82.49,0.4782,FAIL
stretch_SMA_ATR,50,2.5,30,0.87,0.5348,7643,0.5354,0.5242,3726.38,0.7204,3153,0.5249,0.5074,-558.2,0.7498,FAIL
keltner_EMA_ATR,20,2.0,60,0.9,0.5263,3000,0.539,0.5211,3658.24,0.427,1361,0.5459,0.5194,1317.79,0.4344,FAIL
keltner_EMA_ATR,200,1.5,60,0.87,0.5348,18662,0.514,0.5068,3643.57,0.8715,7980,0.5188,0.5078,707.96,0.6181,FAIL
keltner_EMA_ATR,20,2.0,15,0.9,0.5263,3000,0.551,0.5331,3619.44,0.5086,1361,0.5283,0.5017,-53.22,0.3836,FAIL
keltner_EMA_ATR,50,1.5,30,0.87,0.5348,11860,0.5351,0.5261,3458.41,0.7061,5052,0.5277,0.5139,-351.78,0.7251,FAIL
keltner_EMA_ATR,50,2.5,15,0.9,0.5263,5807,0.5352,0.5224,3348.62,0.7376,2525,0.535,0.5156,111.0,0.6344,FAIL
keltner_EMA_ATR,50,2.5,60,0.87,0.5348,5806,0.5351,0.5223,3252.88,0.6356,2526,0.5479,0.5284,1401.28,0.6158,FAIL
stretch_SMA_ATR,20,2.5,30,0.9,0.5263,2496,0.5345,0.5148,2916.81,0.6582,1155,0.5385,0.5097,1115.46,0.37,FAIL
keltner_EMA_ATR,50,2.0,30,0.87,0.5348,8465,0.5373,0.5266,2876.9,0.5872,3659,0.5283,0.5121,-178.72,0.641,FAIL
