tag,rsi_per,ob,os_,macro_ema,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
RSI14 25/75 EMA50 exp60m,14,75,25,50,60,0.87,0.5348,51,0.451,0.3227,-93.4,0.0959,16,0.4375,0.231,-34.01,0.0357,FAIL
RSI14 20/80 noMacro exp15m,14,80,20,None,15,0.87,0.5348,75,0.4,0.2966,-93.45,0.0967,34,0.4118,0.2637,-35.47,0.069,FAIL
RSI21 30/70 EMA50 exp60m,21,70,30,50,60,0.87,0.5348,55,0.4,0.2812,-93.52,0.0969,19,0.5263,0.3171,-48.88,0.0701,FAIL
RSI21 25/75 noMacro exp30m,21,75,25,None,30,0.9,0.5263,99,0.5253,0.4278,-94.49,0.1478,45,0.5556,0.4118,-52.54,0.0902,FAIL
RSI14 25/75 noMacro exp60m,14,75,25,None,60,0.9,0.5263,279,0.5341,0.4754,-95.21,0.21,112,0.5446,0.4525,-21.72,0.1195,FAIL
RSI21 25/75 noMacro exp30m,21,75,25,None,30,0.87,0.5348,99,0.5253,0.4278,-98.52,0.1348,45,0.5556,0.4118,-79.21,0.0954,FAIL
RSI14 20/80 noMacro exp15m,14,80,20,None,15,0.9,0.5263,75,0.4,0.2966,-98.91,0.1023,34,0.4118,0.2637,-53.77,0.0878,FAIL
RSI14 25/75 noMacro exp60m,14,75,25,None,60,0.87,0.5348,279,0.5341,0.4754,-100.77,0.1894,112,0.5446,0.4525,-59.25,0.122,FAIL
RSI14 20/80 noMacro exp30m,14,80,20,None,30,0.9,0.5263,75,0.4667,0.3582,-101.5,0.1042,34,0.5,0.3407,-84.12,0.1171,FAIL
RSI10 25/75 EMA50 exp30m,10,75,25,50,30,0.9,0.5263,111,0.5135,0.4216,-101.69,0.148,52,0.5577,0.4234,-12.84,0.0577,FAIL
RSI10 25/75 EMA50 exp15m,10,75,25,50,15,0.9,0.5263,111,0.5315,0.4392,-103.39,0.1276,52,0.5577,0.4234,-35.15,0.079,FAIL
RSI21 25/75 noMacro exp15m,21,75,25,None,15,0.87,0.5348,99,0.4646,0.3696,-108.7,0.1145,45,0.5333,0.3908,-32.02,0.1039,FAIL
RSI10 25/75 EMA50 exp60m,10,75,25,50,60,0.87,0.5348,111,0.4595,0.3697,-108.92,0.1169,52,0.5192,0.3869,-55.89,0.0816,FAIL
RSI21 35/65 EMA50 exp30m,21,65,35,50,30,0.9,0.5263,210,0.5381,0.4706,-109.66,0.224,82,0.561,0.4532,17.73,0.0929,FAIL
RSI21 35/65 EMA50 exp30m,21,65,35,50,30,0.87,0.5348,210,0.5381,0.4706,-116.08,0.2064,82,0.561,0.4532,-8.67,0.095,FAIL
RSI10 20/80 noMacro exp30m,10,80,20,None,30,0.87,0.5348,188,0.4787,0.4085,-116.39,0.1193,85,0.5529,0.4472,-29.41,0.1347,FAIL
RSI10 25/75 noMacro exp30m,10,75,25,None,30,0.9,0.5263,520,0.5423,0.4993,-124.51,0.2956,230,0.5304,0.466,139.73,0.1159,FAIL
RSI21 35/65 EMA50 exp15m,21,65,35,50,15,0.87,0.5348,210,0.519,0.4517,-125.46,0.1404,82,0.5,0.3942,-66.12,0.0961,FAIL
RSI10 25/75 EMA50 exp60m,10,75,25,50,60,0.9,0.5263,111,0.4595,0.3697,-127.26,0.1453,52,0.5192,0.3869,-66.2,0.0909,FAIL
RSI14 30/70 EMA50 exp30m,14,70,30,50,30,0.9,0.5263,153,0.4967,0.4186,-129.74,0.1613,67,0.5373,0.4192,-34.91,0.0727,FAIL
RSI14 30/70 EMA50 exp30m,14,70,30,50,30,0.87,0.5348,153,0.4967,0.4186,-130.98,0.1698,67,0.5373,0.4192,-48.64,0.0715,FAIL
RSI21 30/70 noMacro exp15m,21,70,30,None,15,0.87,0.5348,371,0.5148,0.4641,-134.39,0.2398,153,0.5163,0.4377,-185.55,0.2035,FAIL
RSI10 20/80 noMacro exp30m,10,80,20,None,30,0.9,0.5263,188,0.4787,0.4085,-159.27,0.1633,85,0.5529,0.4472,-9.65,0.1373,FAIL
RSI21 30/70 noMacro exp30m,21,70,30,None,30,0.87,0.5348,371,0.4852,0.4347,-161.17,0.1638,153,0.5033,0.4249,-105.78,0.1095,FAIL
RSI14 30/70 EMA50 exp15m,14,70,30,50,15,0.9,0.5263,153,0.5359,0.457,-167.63,0.1807,67,0.5075,0.3906,-72.96,0.0783,FAIL
RSI14 30/70 EMA50 exp15m,14,70,30,50,15,0.87,0.5348,153,0.5359,0.457,-176.2,0.183,67,0.5075,0.3906,-80.22,0.085,FAIL
RSI21 35/65 EMA50 exp15m,21,65,35,50,15,0.9,0.5263,210,0.519,0.4517,-184.12,0.1985,82,0.5,0.3942,-57.33,0.096,FAIL
RSI10 30/70 EMA50 exp60m,10,70,30,50,60,0.9,0.5263,291,0.5326,0.4753,-188.52,0.2622,133,0.4812,0.398,-126.98,0.1596,FAIL
RSI10 30/70 EMA50 exp60m,10,70,30,50,60,0.87,0.5348,291,0.5326,0.4753,-218.08,0.2866,133,0.4812,0.398,-122.48,0.1473,FAIL
RSI14 25/75 noMacro exp30m,14,75,25,None,30,0.9,0.5263,279,0.4839,0.4258,-223.38,0.2252,112,0.5446,0.4525,100.83,0.061,FAIL
RSI14 25/75 noMacro exp30m,14,75,25,None,30,0.87,0.5348,279,0.4839,0.4258,-225.58,0.2273,112,0.5446,0.4525,66.04,0.0588,FAIL
RSI7 35/65 EMA50 exp60m,7,65,35,50,60,0.9,0.5263,984,0.5457,0.5145,-229.12,0.3942,390,0.5077,0.4582,-198.43,0.2212,FAIL
RSI21 30/70 noMacro exp30m,21,70,30,None,30,0.9,0.5263,371,0.4852,0.4347,-242.32,0.245,153,0.5033,0.4249,-135.79,0.1358,FAIL
RSI10 25/75 noMacro exp30m,10,75,25,None,30,0.87,0.5348,520,0.5423,0.4993,-260.38,0.4008,230,0.5304,0.466,130.65,0.1119,FAIL
RSI7 35/65 EMA50 exp60m,7,65,35,50,60,0.87,0.5348,984,0.5457,0.5145,-380.37,0.4238,390,0.5077,0.4582,-227.89,0.231,FAIL
