tag,rsi_per,ob,os_,macro_ema,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
RSI7 35/65 EMA50 exp15m,7,65,35,50,15,0.9,0.5263,985,0.5604,0.5292,1313.47,0.2753,390,0.5385,0.4888,164.61,0.247,FAIL
RSI7 25/75 noMacro exp15m,7,75,25,None,15,0.87,0.5348,898,0.5768,0.5443,1198.95,0.3459,409,0.5086,0.4603,-192.36,0.3018,FAIL
RSI10 35/65 EMA50 exp15m,10,65,35,50,15,0.87,0.5348,657,0.5708,0.5326,1189.1,0.1928,284,0.493,0.4353,-289.07,0.3249,FAIL
RSI7 30/70 EMA50 exp15m,7,70,30,50,15,0.87,0.5348,515,0.5942,0.5512,1184.08,0.168,235,0.5106,0.4471,-197.47,0.2577,FAIL
RSI21 35/65 noMacro exp15m,21,65,35,None,15,0.9,0.5263,1116,0.5394,0.5101,1155.43,0.2495,466,0.5086,0.4633,-274.82,0.3322,FAIL
RSI10 30/70 noMacro exp30m,10,70,30,None,30,0.87,0.5348,1143,0.5582,0.5292,1135.97,0.2886,514,0.5019,0.4589,-305.69,0.3354,FAIL
RSI7 20/80 noMacro exp60m,7,80,20,None,60,0.9,0.5263,423,0.5768,0.5293,1085.58,0.2004,200,0.495,0.4265,-123.19,0.1883,FAIL
RSI7 25/75 noMacro exp30m,7,75,25,None,30,0.87,0.5348,898,0.5601,0.5275,1004.54,0.2346,409,0.5159,0.4675,-187.49,0.2755,FAIL
RSI21 35/65 noMacro exp30m,21,65,35,None,30,0.9,0.5263,1116,0.5439,0.5146,987.4,0.2275,466,0.5064,0.4612,-347.19,0.3649,FAIL
RSI7 20/80 noMacro exp60m,7,80,20,None,60,0.87,0.5348,423,0.5768,0.5293,889.39,0.1877,200,0.495,0.4265,-112.69,0.1609,FAIL
RSI21 35/65 noMacro exp60m,21,65,35,None,60,0.87,0.5348,1116,0.5636,0.5344,866.93,0.3037,466,0.5043,0.459,-307.0,0.3717,FAIL
RSI7 30/70 EMA50 exp30m,7,70,30,50,30,0.9,0.5263,515,0.5748,0.5317,862.78,0.1771,235,0.5149,0.4513,-106.83,0.2183,FAIL
RSI7 20/80 noMacro exp15m,7,80,20,None,15,0.9,0.5263,423,0.5839,0.5364,855.61,0.2174,200,0.48,0.4118,-89.04,0.1417,FAIL
RSI7 35/65 noMacro exp60m,7,65,35,None,60,0.87,0.5348,3093,0.5377,0.5201,848.05,0.4005,1323,0.517,0.4901,-528.36,0.5587,FAIL
RSI7 35/65 EMA50 exp15m,7,65,35,50,15,0.87,0.5348,985,0.5604,0.5292,824.28,0.2874,390,0.5385,0.4888,105.09,0.2038,FAIL
RSI14 30/70 noMacro exp15m,14,70,30,None,15,0.9,0.5263,750,0.5573,0.5216,806.91,0.206,313,0.5144,0.4592,-266.99,0.3087,FAIL
