time,open,high,low,close
1725148800000,58974.00000000,58978.00000000,58957.01000000,58978.00000000
1725149100000,58978.00000000,59035.76000000,58975.41000000,59035.76000000
1725149400000,59035.75000000,59055.00000000,59023.00000000,59038.12000000
1725149700000,59038.11000000,59076.59000000,59024.00000000,59024.00000000
1725150000000,59024.00000000,59024.00000000,58991.10000000,58991.10000000
1725150300000,58991.11000000,58991.11000000,58911.00000000,58961.41000000
1725150600000,58961.40000000,58961.41000000,58920.00000000,58949.99000000
1725150900000,58950.00000000,58997.00000000,58949.99000000,58988.00000000
1725151200000,58988.00000000,59019.00000000,58900.00000000,58908.99000000
1725151500000,58909.00000000,58951.00000000,58909.00000000,58937.00000000
1725151800000,58937.00000000,58964.26000000,58937.00000000,58957.00000000
1725152100000,58956.99000000,58971.56000000,58929.84000000,58930.00000000
1725152400000,58929.99000000,58932.99000000,58899.99000000,58919.01000000
1725152700000,58919.01000000,58932.00000000,58907.00000000,58924.99000000
1725153000000,58925.00000000,58925.00000000,58876.47000000,58876.48000000
1725153300000,58876.48000000,58921.00000000,58850.00000000,58917.72000000
1725153600000,58917.72000000,58957.00000000,58917.71000000,58934.00000000
1725153900000,58934.00000000,58949.00000000,58907.46000000,58922.00000000
1725154200000,58922.00000000,58941.29000000,58896.00000000,58900.00000000
1725154500000,58900.00000000,58910.60000000,58842.26000000,58868.67000000
1725154800000,58868.68000000,58883.00000000,58856.00000000,58883.00000000
1725155100000,58883.00000000,58901.10000000,58863.00000000,58891.10000000
1725155400000,58891.10000000,58891.11000000,58858.00000000,58870.00000000
1725155700000,58869.99000000,58870.00000000,58819.78000000,58828.01000000
1725156000000,58828.00000000,58851.65000000,58795.00000000,58822.99000000
1725156300000,58822.99000000,58823.00000000,58542.07000000,58614.00000000
1725156600000,58614.00000000,58692.81000000,58588.00000000,58620.01000000
1725156900000,58620.01000000,58681.00000000,58611.11000000,58648.00000000
1725157200000,58648.00000000,58648.00000000,58445.88000000,58445.88000000
1725157500000,58445.87000000,58445.87000000,58280.00000000,58315.00000000
1725157800000,58314.99000000,58441.51000000,58276.01000000,58435.00000000
1725158100000,58435.00000000,58520.78000000,58428.00000000,58504.01000000
1725158400000,58504.00000000,58560.18000000,58470.50000000,58480.00000000
1725158700000,58480.00000000,58490.00000000,58429.47000000,58440.00000000
1725159000000,58440.00000000,58530.00000000,58440.00000000,58529.99000000
1725159300000,58530.00000000,58548.86000000,58510.90000000,58540.25000000
1725159600000,58540.25000000,58540.25000000,58492.01000000,58502.01000000
1725159900000,58502.02000000,58541.00000000,58399.01000000,58428.01000000
1725160200000,58428.00000000,58648.00000000,58428.00000000,58623.00000000
1725160500000,58623.00000000,58672.01000000,58575.00000000,58575.00000000
1725160800000,58575.00000000,58626.20000000,58558.00000000,58626.19000000
1725161100000,58626.20000000,58656.23000000,58626.19000000,58645.48000000
1725161400000,58645.48000000,58667.00000000,58622.00000000,58622.01000000
1725161700000,58622.00000000,58652.00000000,58604.00000000,58608.27000000
