p,mult,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
50,1.5,15,0.9,0.5263,7125,0.5411,0.5295,6046.56,0.5445,2993,0.5322,0.5143,948.07,0.3471,FAIL
30,2.5,15,0.87,0.5348,1345,0.5814,0.5549,5741.49,0.1843,559,0.5456,0.5042,-188.99,0.2766,FAIL
20,1.2,15,0.9,0.5263,10031,0.5454,0.5356,5566.82,0.5796,4308,0.5344,0.5194,-248.67,0.5642,FAIL
20,2.5,15,0.87,0.5348,1065,0.5972,0.5674,5380.66,0.1972,464,0.5453,0.4998,-211.52,0.3988,FAIL
10,1.2,30,0.87,0.5348,9919,0.5435,0.5337,5302.49,0.6138,4241,0.5419,0.5268,400.18,0.524,FAIL
30,2.5,30,0.9,0.5263,1345,0.5658,0.5392,5236.59,0.2471,559,0.5474,0.506,170.33,0.2548,FAIL
50,1.2,15,0.9,0.5263,10244,0.5382,0.5285,4713.8,0.5102,4330,0.5388,0.5239,680.79,0.4585,FAIL
50,1.5,30,0.9,0.5263,7125,0.5347,0.5231,4711.76,0.6324,2994,0.5247,0.5068,234.32,0.5025,FAIL
30,1.2,30,0.87,0.5348,10186,0.5396,0.5299,4679.33,0.5977,4264,0.5366,0.5216,355.82,0.721,FAIL
30,2.0,30,0.9,0.5263,3257,0.5438,0.5266,4545.39,0.4569,1344,0.5484,0.5217,1055.16,0.2463,FAIL
30,1.5,60,0.87,0.5348,6938,0.5382,0.5264,4302.98,0.5994,2941,0.5301,0.512,1174.77,0.599,FAIL
20,2.5,30,0.9,0.5263,1065,0.5822,0.5523,3750.11,0.2661,464,0.5366,0.4911,54.38,0.1597,FAIL
20,1.2,30,0.87,0.5348,10031,0.5403,0.5306,3684.04,0.6437,4310,0.5323,0.5173,1646.01,0.4551,FAIL
50,2.0,30,0.9,0.5263,3544,0.5353,0.5188,3485.95,0.4115,1498,0.5214,0.496,-180.9,0.5177,FAIL
50,1.5,60,0.87,0.5348,7123,0.5293,0.5177,3338.51,0.5972,2994,0.5307,0.5128,853.58,0.4941,FAIL
20,2.0,60,0.9,0.5263,2948,0.5421,0.524,3281.36,0.333,1247,0.5573,0.5296,2861.5,0.2667,PASS
30,2.5,30,0.87,0.5348,1345,0.5658,0.5392,3185.67,0.2683,559,0.5474,0.506,34.92,0.2486,FAIL
50,2.0,15,0.9,0.5263,3544,0.5401,0.5236,3016.17,0.3471,1498,0.532,0.5067,9.39,0.364,FAIL
20,1.2,60,0.87,0.5348,10030,0.5333,0.5235,2779.17,0.7519,4310,0.5404,0.5255,3050.67,0.5337,FAIL
30,2.0,60,0.9,0.5263,3257,0.5312,0.514,2608.37,0.4015,1344,0.5446,0.5179,1195.51,0.4624,FAIL
50,1.2,60,0.87,0.5348,10243,0.5311,0.5214,2605.53,0.7069,4331,0.5384,0.5236,2349.25,0.7034,FAIL
20,2.5,30,0.87,0.5348,1065,0.5822,0.5523,2135.28,0.2654,464,0.5366,0.4911,-93.36,0.2329,FAIL
30,2.0,15,0.87,0.5348,3257,0.5536,0.5365,2104.43,0.4428,1344,0.5484,0.5217,656.02,0.2438,FAIL
50,2.0,60,0.9,0.5263,3544,0.5217,0.5053,1969.09,0.5228,1497,0.5117,0.4864,-305.29,0.492,FAIL
30,2.0,30,0.87,0.5348,3257,0.5438,0.5266,1968.83,0.5244,1344,0.5484,0.5217,379.83,0.2749,FAIL
50,2.5,15,0.9,0.5263,1578,0.5488,0.5242,1786.18,0.195,657,0.554,0.5158,218.64,0.3688,FAIL
50,2.0,30,0.87,0.5348,3544,0.5353,0.5188,1766.25,0.451,1498,0.5214,0.496,-353.58,0.5117,FAIL
10,2.0,60,0.9,0.5263,2204,0.5504,0.5295,1759.26,0.3314,971,0.5747,0.5433,1744.68,0.2186,PASS
50,1.2,30,0.87,0.5348,10245,0.5361,0.5264,1698.63,0.6201,4332,0.5316,0.5167,590.67,0.4596,FAIL
30,1.5,15,0.87,0.5348,6939,0.5505,0.5388,1527.16,0.4635,2942,0.5367,0.5187,818.13,0.3843,FAIL
30,2.0,60,0.87,0.5348,3257,0.5312,0.514,1475.91,0.4108,1344,0.5446,0.5179,733.54,0.4531,FAIL
20,2.0,60,0.87,0.5348,2948,0.5421,0.524,1337.79,0.3303,1247,0.5573,0.5296,1787.04,0.272,FAIL
20,1.5,60,0.87,0.5348,6699,0.5359,0.5239,1174.14,0.5812,2863,0.5463,0.528,2876.51,0.4285,FAIL
50,2.0,15,0.87,0.5348,3544,0.5401,0.5236,1079.34,0.3702,1498,0.532,0.5067,-174.3,0.4065,FAIL
50,2.5,15,0.87,0.5348,1578,0.5488,0.5242,1053.79,0.1989,657,0.554,0.5158,6.68,0.3964,FAIL
50,2.0,60,0.87,0.5348,3544,0.5217,0.5053,822.26,0.5289,1497,0.5117,0.4864,-410.55,0.4939,FAIL
50,1.5,30,0.87,0.5348,7125,0.5347,0.5231,734.07,0.6854,2994,0.5247,0.5068,-127.58,0.4975,FAIL
30,1.2,15,0.87,0.5348,10187,0.5427,0.533,501.97,0.5242,4263,0.5388,0.5238,-408.46,0.5704,FAIL
50,1.5,15,0.87,0.5348,7125,0.5411,0.5295,500.42,0.6945,2993,0.5322,0.5143,226.87,0.3918,FAIL
10,2.5,15,0.9,0.5263,383,0.5744,0.5244,495.65,0.2833,176,0.5966,0.5228,486.32,0.1072,FAIL
50,2.5,30,0.9,0.5263,1578,0.5342,0.5096,471.76,0.4606,657,0.5342,0.496,-187.18,0.3711,FAIL
10,2.0,60,0.87,0.5348,2204,0.5504,0.5295,449.42,0.3625,971,0.5747,0.5433,896.78,0.272,PASS
10,2.5,60,0.9,0.5263,383,0.5666,0.5165,438.39,0.1519,177,0.5763,0.5026,104.53,0.1745,FAIL
10,2.5,15,0.87,0.5348,383,0.5744,0.5244,403.61,0.2637,176,0.5966,0.5228,347.08,0.1044,FAIL
50,2.5,60,0.9,0.5263,1578,0.519,0.4943,379.99,0.323,657,0.5221,0.4839,-83.03,0.4549,FAIL
20,2.5,60,0.9,0.5263,1065,0.539,0.5089,322.45,0.3392,464,0.5539,0.5084,341.16,0.2654,FAIL
10,2.5,60,0.87,0.5348,383,0.5666,0.5165,277.74,0.1551,177,0.5763,0.5026,16.05,0.1929,FAIL
30,2.5,60,0.9,0.5263,1345,0.5271,0.5004,274.11,0.3106,559,0.542,0.5006,406.67,0.203,FAIL
10,2.5,30,0.9,0.5263,383,0.5561,0.5061,267.72,0.1861,176,0.5341,0.4605,-165.48,0.1802,FAIL
50,2.5,60,0.87,0.5348,1578,0.519,0.4943,194.38,0.3844,657,0.5221,0.4839,-160.85,0.4625,FAIL
10,2.5,30,0.87,0.5348,383,0.5561,0.5061,185.83,0.166,176,0.5341,0.4605,-157.18,0.1716,FAIL
50,2.5,30,0.87,0.5348,1578,0.5342,0.5096,104.24,0.5313,657,0.5342,0.496,-282.91,0.3976,FAIL
20,2.5,60,0.87,0.5348,1065,0.539,0.5089,20.74,0.3447,464,0.5539,0.5084,124.28,0.2916,FAIL
20,1.2,15,0.87,0.5348,10031,0.5454,0.5356,-67.54,0.6456,4308,0.5344,0.5194,-524.4,0.6648,FAIL
30,2.5,60,0.87,0.5348,1345,0.5271,0.5004,-81.42,0.3925,559,0.542,0.5006,185.06,0.2553,FAIL
50,1.2,15,0.87,0.5348,10244,0.5382,0.5285,-190.99,0.6546,4330,0.5388,0.5239,-70.94,0.5711,FAIL
