time,open,high,low,close
1758268800000,116909.98000000,117090.36000000,116300.00000000,116394.72000000
1758283200000,116394.72000000,116529.08000000,115464.19000000,115884.03000000
1758297600000,115884.03000000,116136.00000000,115112.58000000,115125.12000000
1758312000000,115125.13000000,115657.28000000,115100.00000000,115632.38000000
1758326400000,115632.39000000,115730.41000000,115408.47000000,115445.00000000
1758340800000,115445.00000000,115985.20000000,115409.08000000,115968.56000000
1758355200000,115968.56000000,115968.57000000,115664.11000000,115894.06000000
1758369600000,115894.05000000,116121.81000000,115804.47000000,115986.69000000
1758384000000,115986.70000000,116079.46000000,115698.08000000,115702.00000000
1758398400000,115702.00000000,115944.70000000,115603.42000000,115685.63000000
1758412800000,115685.63000000,115732.94000000,115441.83000000,115669.41000000
1758427200000,115669.42000000,115815.98000000,115487.56000000,115815.97000000
1758441600000,115815.98000000,115819.06000000,115329.03000000,115603.45000000
1758456000000,115603.45000000,115747.23000000,115473.19000000,115531.61000000
1758470400000,115531.62000000,115665.52000000,115209.02000000,115480.05000000
1758484800000,115480.05000000,115545.43000000,115188.00000000,115232.29000000
1758499200000,115232.29000000,115379.25000000,114150.00000000,114649.89000000
1758513600000,114649.89000000,114649.90000000,111800.00000000,112519.99000000
1758528000000,112520.00000000,112976.02000000,112173.52000000,112876.97000000
1758542400000,112876.97000000,113432.76000000,112380.00000000,112815.50000000
1758556800000,112815.50000000,112888.00000000,111936.40000000,112122.90000000
1758571200000,112122.90000000,112977.41000000,111975.28000000,112650.99000000
1758585600000,112650.99000000,112833.09000000,111478.00000000,112339.99000000
1758600000000,112339.99000000,113114.01000000,111876.15000000,113090.13000000
1758614400000,113090.13000000,113281.50000000,112683.33000000,112975.99000000
1758628800000,112975.99000000,113290.50000000,112496.61000000,112882.19000000
1758643200000,112882.20000000,112958.58000000,111540.20000000,111655.29000000
1758657600000,111655.29000000,112220.54000000,111458.73000000,111998.80000000
1758672000000,111998.80000000,112500.00000000,111683.09000000,111683.09000000
1758686400000,111683.10000000,112779.37000000,111042.66000000,112583.54000000
1758700800000,112583.54000000,113162.17000000,112405.62000000,113029.46000000
1758715200000,113029.45000000,113890.00000000,112808.00000000,113346.41000000
1758729600000,113346.40000000,113940.00000000,113163.21000000,113420.01000000
1758744000000,113420.00000000,113647.58000000,113204.71000000,113307.00000000
1758758400000,113307.01000000,113510.23000000,112214.74000000,112546.21000000
1758772800000,112546.22000000,112614.43000000,111450.42000000,111766.72000000
1758787200000,111766.73000000,112246.46000000,111283.63000000,111348.00000000
1758801600000,111347.99000000,111729.52000000,110629.99000000,111580.77000000
1758816000000,111580.77000000,111672.58000000,108631.51000000,109360.00000000
1758830400000,109360.00000000,109685.72000000,108765.00000000,108994.49000000
1758844800000,108994.49000000,109798.84000000,108809.24000000,109580.01000000
1758859200000,109580.00000000,109625.94000000,108913.00000000,109320.02000000
