timestamp,direction,expiration,payout,entry,exit,won,pnl
2025-09-30 09:00:00,long,15,0.87,113221.79,113254.29,True,0.87
2025-09-30 09:00:00,long,15,0.9,113221.79,113254.29,True,0.9
2025-09-30 09:00:00,long,30,0.87,113221.79,112983.67,False,-1.0
2025-09-30 09:00:00,long,30,0.9,113221.79,112983.67,False,-1.0
2025-09-30 09:00:00,long,60,0.87,113221.79,112858.71,False,-1.0
2025-09-30 09:00:00,long,60,0.9,113221.79,112858.71,False,-1.0
2025-09-30 09:00:00,long,120,0.87,113221.79,112881.09,False,-1.0
2025-09-30 09:00:00,long,120,0.9,113221.79,112881.09,False,-1.0
2025-10-27 20:15:00,long,15,0.87,114713.01,114649.04,False,-1.0
2025-10-27 20:15:00,long,15,0.9,114713.01,114649.04,False,-1.0
2025-10-27 20:15:00,long,30,0.87,114713.01,114455.17,False,-1.0
2025-10-27 20:15:00,long,30,0.9,114713.01,114455.17,False,-1.0
2025-10-27 20:15:00,long,60,0.87,114713.01,114165.54,False,-1.0
2025-10-27 20:15:00,long,60,0.9,114713.01,114165.54,False,-1.0
2025-10-27 20:15:00,long,120,0.87,114713.01,114425.9,False,-1.0
2025-10-27 20:15:00,long,120,0.9,114713.01,114425.9,False,-1.0
2025-11-28 02:15:00,long,15,0.87,90690.11,90822.15,True,0.87
2025-11-28 02:15:00,long,15,0.9,90690.11,90822.15,True,0.9
2025-11-28 02:15:00,long,30,0.87,90690.11,91083.08,True,0.87
2025-11-28 02:15:00,long,30,0.9,90690.11,91083.08,True,0.9
2025-11-28 02:15:00,long,60,0.87,90690.11,91212.38,True,0.87
2025-11-28 02:15:00,long,60,0.9,90690.11,91212.38,True,0.9
2025-11-28 02:15:00,long,120,0.87,90690.11,91411.87,True,0.87
2025-11-28 02:15:00,long,120,0.9,90690.11,91411.87,True,0.9
2025-12-21 01:45:00,long,15,0.87,88011.84,88027.67,True,0.87
2025-12-21 01:45:00,long,15,0.9,88011.84,88027.67,True,0.9
2025-12-21 01:45:00,long,30,0.87,88011.84,87955.12,False,-1.0
2025-12-21 01:45:00,long,30,0.9,88011.84,87955.12,False,-1.0
2025-12-21 01:45:00,long,60,0.87,88011.84,87943.76,False,-1.0
